"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2024-03-17","482.99","474.01","483.24","471.32","4.53M","2.76%"
"2024-03-10","470.01","469.14","475.53","467.39","6.78M","-0.08%"
"2024-03-03","470.39","471.43","476.30","464.08","6.29M","-0.22%"
"2024-02-25","471.43","467.19","471.77","463.91","22.01M","1.00%"
"2024-02-18","466.78","457.44","468.87","453.60","17.91M","1.69%"
"2024-02-11","459.03","460.61","462.74","450.99","29.56M","-0.36%"
"2024-02-04","460.67","453.73","461.03","450.54","26.44M","1.41%"
"2024-01-28","454.28","448.23","455.88","443.75","27.45M","1.35%"
"2024-01-21","448.23","444.77","449.51","443.68","24.26M","1.11%"
"2024-01-14","443.29","436.79","443.61","431.81","20.94M","1.21%"
"2024-01-07","437.99","430.45","439.80","430.37","29.42M","1.86%"
"2023-12-31","429.98","433.91","435.27","428.64","23.55M","-1.56%"
"2023-12-24","436.80","435.67","438.84","434.94","17.19M","0.35%"
"2023-12-17","435.29","434.64","438.22","429.90","22.78M","0.51%"
"2023-12-10","433.09","422.41","435.36","422.22","33.56M","2.40%"
"2023-12-03","422.92","418.65","423.37","417.46","21.80M","0.25%"
"2023-11-26","421.86","417.79","422.37","416.57","20.49M","0.83%"
"2023-11-19","418.37","413.99","419.31","413.98","13.82M","0.98%"
"2023-11-12","414.31","403.59","414.79","402.82","22.76M","2.33%"
"2023-11-05","404.86","400.12","405.11","398.21","19.24M","1.36%"
"2023-10-29","399.44","379.91","400.85","378.71","26.60M","5.86%"
"2023-10-22","377.32","385.48","390.26","375.95","28.06M","-2.50%"
"2023-10-15","386.99","398.57","402.50","386.84","30.95M","-2.38%"
"2023-10-08","396.42","392.80","401.80","392.31","18.08M","0.47%"
"2023-10-01","394.56","391.90","396.08","386.03","25.33M","0.47%"
"2023-09-24","392.70","395.76","398.64","389.45","23.63M","-1.07%"
"2023-09-17","396.96","408.58","410.34","396.55","22.49M","-2.88%"
"2023-09-10","408.74","411.88","414.51","408.48","21.14M","-0.16%"
"2023-09-03","409.39","414.20","414.47","406.86","14.54M","-1.28%"
"2023-08-27","414.71","406.36","416.88","405.10","18.06M","2.60%"
"2023-08-20","404.20","402.14","409.08","399.71","17.07M","0.78%"
"2023-08-13","401.09","408.56","411.74","397.85","22.07M","-2.03%"
"2023-08-06","409.41","412.29","415.05","407.34","17.03M","-0.24%"
"2023-07-30","410.38","420.32","420.97","410.03","20.32M","-2.26%"
"2023-07-23","419.87","416.58","422.15","414.92","20.41M","1.03%"
"2023-07-16","415.57","412.65","419.37","412.63","17.32M","0.68%"
"2023-07-09","412.77","402.63","414.71","402.06","17.74M","2.45%"
"2023-07-02","402.89","406.92","408.06","401.56","16.32M","-1.08%"
"2023-06-25","407.28","399.04","408.22","397.73","20.96M","1.92%"
"2023-06-18","399.61","403.49","404.32","398.93","15.03M","-1.39%"
"2023-06-11","405.25","395.98","408.76","395.30","23.30M","2.59%"
"2023-06-04","395.03","393.54","396.93","391.29","17.37M","0.45%"
"2023-05-28","393.26","387.76","393.96","382.42","19.11M","1.92%"
"2023-05-21","385.87","384.66","386.57","376.57","15.64M","0.34%"
"2023-05-14","384.57","378.74","386.54","376.91","16.37M","1.70%"
"2023-05-07","378.15","379.41","380.83","375.64","13.95M","-0.22%"
"2023-04-30","378.97","381.73","383.64","370.92","20.45M","-0.81%"
"2023-04-23","382.05","378.48","382.12","370.98","17.56M","0.91%"
"2023-04-16","378.59","378.84","381.92","376.82","14.13M","-0.11%"
"2023-04-09","378.99","373.55","381.33","372.96","15.03M","0.81%"
"2023-04-02","375.95","375.60","378.40","372.72","12.54M","-0.03%"
"2023-03-26","376.07","365.73","376.34","361.68","17.67M","3.44%"
"2023-03-19","363.56","360.47","371.22","357.72","19.84M","1.02%"
"2023-03-12","359.88","350.76","364.26","349.76","28.13M","1.47%"
"2023-03-05","354.68","372.26","374.44","353.14","21.86M","-4.47%"
"2023-02-26","371.28","367.49","371.67","360.53","17.73M","1.94%"
"2023-02-19","364.23","370.40","371.33","361.73","13.90M","-2.67%"
"2023-02-12","374.22","375.65","381.42","371.32","16.89M","-0.21%"
"2023-02-05","375.02","376.58","382.75","372.20","16.89M","-1.01%"
"2023-01-29","378.85","370.15","384.41","367.86","24.08M","1.60%"
"2023-01-22","372.87","364.51","375.08","361.66","18.02M","2.52%"
"2023-01-15","363.71","366.19","367.72","355.85","15.65M","-0.69%"
"2023-01-08","366.23","358.73","366.73","354.96","20.74M","2.70%"
"2023-01-01","356.59","353.18","357.67","347.19","14.76M","1.49%"
