"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2024-03-21","482.58","482.62","483.15","482.01","1.79M","0.61%"
"2024-03-20","479.64","475.45","480.00","474.94","5.86M","0.85%"
"2024-03-19","475.60","472.20","475.74","471.29","4.53M","0.56%"
"2024-03-18","472.95","473.95","475.28","472.50","3.91M","0.63%"
"2024-03-15","470.01","470.41","471.78","468.72","6.78M","-0.69%"
"2024-03-14","473.27","475.16","475.33","470.45","5.14M","-0.22%"
"2024-03-13","474.31","475.31","475.47","472.90","3.53M","-0.15%"
"2024-03-12","475.03","471.92","475.55","469.57","4.79M","1.07%"
"2024-03-11","470.00","469.20","470.45","467.39","5.32M","-0.08%"
"2024-03-08","470.39","473.77","476.30","469.82","6.29M","-0.61%"
"2024-03-07","473.26","471.63","474.19","470.78","7.12M","0.99%"
"2024-03-06","468.62","469.25","470.66","467.32","5.29M","0.53%"
"2024-03-05","466.15","468.95","469.38","464.06","4.57M","-1.00%"
"2024-03-04","470.87","470.61","472.60","470.60","3.95M","-0.12%"
"2024-03-01","471.43","467.83","471.77","467.43","4.84M","0.96%"
"2024-02-29","466.93","466.97","468.49","464.47","7.32M","0.37%"
"2024-02-28","465.21","464.49","465.83","464.11","2.79M","-0.15%"
"2024-02-27","465.93","465.71","466.12","463.91","3.57M","0.18%"
"2024-02-26","465.07","467.19","467.59","464.94","3.44M","-0.37%"
"2024-02-23","466.78","468.09","468.87","466.09","4.05M","0.05%"
"2024-02-22","466.57","463.22","467.33","462.32","4.31M","2.10%"
"2024-02-21","456.97","455.32","457.12","453.60","4.15M","0.10%"
"2024-02-20","456.51","457.44","458.06","454.43","5.29M","-0.55%"
"2024-02-16","459.03","461.08","462.15","458.40","5.53M","-0.51%"
"2024-02-15","461.39","458.90","461.54","458.43","5.68M","0.68%"
"2024-02-14","458.29","456.58","458.67","454.40","5.60M","0.95%"
"2024-02-13","453.97","454.48","455.70","450.99","8.13M","-1.41%"
"2024-02-12","460.46","460.61","462.74","459.75","4.55M","-0.05%"
"2024-02-09","460.67","458.54","461.03","458.17","4.00M","0.57%"
